ExamID,FinalGrade,PSS_Stress,StudyID,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
2311,0.8518518518518519,25,2015.01.122,108,78509.25926,30945.25547,72470.08547,90202.12766,434000.0,14500.0,4000.0,117,126,0.42701,0.80342,8479000.0,1960000655.0627
2311,0.75,22,2015.01.121,108,81537.03704,15275.08651,75264.95726,103600.0,421000.0,7000.0,7000.0,117,157,0.2925,0.7265,8806000.0,611042047.21954
2311,0.7129629629629629,26,2015.01.120,108,98416.66667,26840.90909,66431.25,109577.31959,545000.0,10000.0,9000.0,160,232,0.40404,0.60625,10629000.0,2205825258.9183
2311,0.7870370370370371,30,2015.01.119,108,86166.66667,19307.05394,68933.33333,95938.14433,372000.0,9000.0,7000.0,135,299,0.2897,0.71852,9306000.0,716134212.09272
2311,0.5833333333333334,26,2015.01.118,108,70009.25926,10989.82558,54395.68345,95708.86076,387000.0,3000.0,8000.0,139,314,0.27043,0.56835,7561000.0,430091599.38729
2311,0.7314814814814815,22,2015.01.117,108,81490.74074,22224.74747,66674.24242,102337.2093,329000.0,13000.0,10000.0,132,264,0.33333,0.65152,8801000.0,737891132.84746
2311,0.8333333333333334,25,2015.01.115,108,98935.18519,25997.56691,92112.06897,117417.58242,651000.0,10000.0,12000.0,116,275,0.28224,0.78448,10685000.0,1462090237.96807
2311,0.5462962962962963,29,2015.01.111,108,89564.81481,32243.33333,78008.06452,156016.12903,457000.0,8000.0,13000.0,124,174,0.41333,0.5,9673000.0,3595756644.37014
2311,0.7129629629629629,34,2015.01.110,108,99537.03704,26741.29353,83984.375,127976.19048,370000.0,13000.0,2000.0,128,158,0.4129,0.65625,10750000.0,1270097492.58694
2311,0.7407407407407407,28,2015.01.109,108,99259.25926,28894.87871,72925.17007,110515.46392,441000.0,9000.0,7000.0,147,186,0.40054,0.65986,10720000.0,2305088919.64741
2311,0.6851851851851852,19,2015.01.108,108,89018.51852,15382.4,60087.5,104500.0,677000.0,6000.0,9000.0,160,277,0.31496,0.575,9614000.0,1063242958.97437
2311,0.6851851851851852,24,2015.01.105,108,90388.88889,17846.4351,77476.19048,122025.0,312000.0,4000.0,14000.0,126,310,0.23774,0.63492,9762000.0,849529488.18397
2311,0.7129629629629629,30,2015.01.102,108,80935.18519,13963.25879,68289.0625,104059.52381,701000.0,3000.0,9000.0,128,497,0.2048,0.65625,8741000.0,972137847.92332
