FinalGrade,PSS_Stress,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
0.46,30,100,77120,25285.2459,69477.47748,148307.6923,369000,5000,8000,111,136,0.40072,0.46847,7712000,1894237446
0.603960396,16,101,81643.56436,23033.51955,59753.62319,112958.9041,261000,14000,9000,138,218,0.38764,0.52899,8246000,682900834.1
0.702970297,30,101,64683.16832,17013.02083,57814.15929,85960.52632,299000,7000,6000,113,248,0.29815,0.67257,6533000,487746566.3
0.504950495,26,101,93435.64356,21447.72727,82780.70175,168517.8571,376000,6000,8000,114,267,0.25968,0.49123,9437000,1192616851
0.485148515,23,101,72237.62376,21458.82353,61310.92437,132654.5455,470000,8000,8000,119,183,0.35103,0.46218,7296000,1208473226
0.52,26,100,99700,22710.70615,76106.87023,158253.9683,335000,6000,3000,131,124,0.47292,0.48092,9970000,1814639862
0.64,21,100,81440,24530.12048,67866.66667,114704.2254,391000,13000,17000,120,186,0.37736,0.59167,8144000,1032358607
0.485148515,26,101,65188.11881,14598.66962,51437.5,115508.7719,436000,5000,7000,128,306,0.28571,0.44531,6584000,519605242.7
0.455445545,24,101,79594.05941,18438.07339,69301.72414,167479.1667,389000,5000,11000,116,260,0.26728,0.41379,8039000,742163972.4
0.465346535,21,101,73465.34653,14664.03162,49139.07285,127931.0345,530000,3000,11000,151,292,0.29901,0.38411,7420000,629510664.1
0.48,20,100,88720,19802.66075,68246.15385,155649.1228,664000,5000,8000,130,174,0.35813,0.43846,8872000,1354985415
0.544554455,28,101,98376.23762,20962.02532,66240,139943.662,458000,4000,7000,150,259,0.31847,0.47333,9936000,1150294538
0.673267327,21,101,92485.14851,24711.64021,76565.57377,121311.6883,575000,14000,1000,122,241,0.3262,0.63115,9341000,1029600978
0.66,17,100,99500,22768.87872,75378.78788,125949.3671,412000,9000,11000,132,203,0.36975,0.59848,9950000,973467102.6
0.643564356,30,101,80178.21782,18573.3945,39120.77295,101225,313000,2000,9000,207,202,0.47586,0.38647,8098000,1019964716
0.702970297,24,101,55960.39604,15358.69565,46327.86885,74368.42105,252000,7000,5000,122,182,0.33333,0.62295,5652000,414672076.8
0.73,21,100,80710,10678.10026,60231.34328,97240.96386,411000,2000,7000,134,428,0.21613,0.6194,8071000,430696772.1
0.475247525,33,101,85663.36634,12033.37969,65545.45455,151789.4737,341000,3000,7000,132,576,0.18436,0.43182,8652000,493656265.9
0.45,26,100,99290,16452.14521,89450.45045,202632.6531,412000,4000,3000,111,320,0.2517,0.44144,9929000,829620020.2
0.742574257,22,101,70306.93069,17447.17445,63972.97297,87666.66667,242000,9000,10000,111,228,0.27407,0.72973,7101000,559370971.1
0.71,26,100,89620,18252.54582,78614.03509,116389.6104,454000,8000,13000,114,221,0.30319,0.67544,8962000,766585070
0.623762376,29,101,91217.82178,19153.84615,58310.12658,122840,484000,7000,5000,158,243,0.33124,0.47468,9213000,731997115.4
0.45,30,100,99900,13722.52747,63630.57325,172241.3793,370000,4000,10000,157,314,0.27544,0.36943,9990000,528618914.1
0.45,21,100,99680,25299.49239,84474.57627,195450.9804,401000,11000,9000,118,228,0.31806,0.4322,9968000,1244592010
0.554455446,33,101,68386.13861,16523.92344,58533.89831,113229.5082,419000,4000,7000,118,249,0.28365,0.51695,6907000,865784798
0.633663366,19,101,64950.49505,14577.77778,47883.21168,85194.80519,289000,6000,8000,137,253,0.30649,0.56204,6560000,493954961.6
0.673267327,32,101,97801.9802,19217.89883,79024,123475,611000,10000,15000,125,375,0.24462,0.64,9878000,713535273.5
0.306930693,29,101,69722.77228,22284.81013,60188.03419,207117.6471,486000,8500,13000,117,198,0.37621,0.2906,7042000,1175963070
0.53,34,100,91690,28386.9969,75776.8595,155406.7797,433000,12000,17000,121,128,0.48594,0.4876,9169000,1592939830
0.7,26,100,87980,18719.14894,69825.39683,112794.8718,375000,5000,2000,126,175,0.32984,0.61905,8798000,1139038225
0.584158416,27,101,75455.44554,18957.71144,68044.64286,127016.6667,163000,7000,22000,112,257,0.28,0.53571,7621000,686574267.1
0.475247525,33,101,87544.55446,18812.76596,66481.20301,152448.2759,566000,5000,9000,133,288,0.28419,0.43609,8842000,831602395.3
0.52,23,100,96890,21920.81448,70722.62774,144611.9403,359000,8000,11000,137,224,0.33172,0.48905,9689000,942163783.5
0.356435644,38,101,65584.15842,27147.54098,62490.56604,174315.7895,221000,9500,2000,106,138,0.44167,0.35849,6624000,1133722998
0.56,17,100,88520,22639.38619,72557.37705,147533.3333,312000,7000,6000,122,218,0.32973,0.4918,8852000,1045026034
0.524752475,39,101,69237.62376,13986,60808.69565,122684.2105,315000,5000,5000,115,291,0.23046,0.49565,6993000,441031867.7
0.445544554,32,101,66574.25743,10969.00489,43380.64516,120071.4286,301000,2000,13000,155,444,0.25368,0.36129,6724000,623415704.4
0.35,18,100,73950,16506.69643,58690.47619,180365.8537,323000,2500,16000,126,244,0.3198,0.3254,7395000,1135999955
0.663366337,27,101,88267.32673,19049.1453,55030.8642,104882.3529,467000,5000,2000,162,268,0.34764,0.52469,8915000,1089430128
0.5,28,100,98460,19810.86519,78142.85714,175821.4286,1102000,4000,3000,126,250,0.28966,0.44444,9846000,1375439962
0.475247525,31,101,84099.0099,13482.53968,61550.72464,149017.5439,374000,3500,15000,138,279,0.22045,0.41304,8494000,513261220.9
0.61,29,100,100100,14198.58156,77596.89922,137123.2877,430000,3000,8000,129,314,0.21044,0.56589,10010000,522119600.3
0.663366337,22,101,86000,13787.30159,68393.70079,118986.3014,325000,5000,21000,127,413,0.20353,0.5748,8686000,408819552.3
0.57,23,100,99630,17059.93151,86634.78261,166050,552000,7000,12000,115,242,0.28186,0.52174,9963000,763377191.1
0.54,26,100,87260,29086.66667,78612.61261,147898.3051,341000,10000,11000,111,164,0.39785,0.53153,8726000,1732266711
0.584158416,19,101,80584.15842,24515.06024,68394.95798,127171.875,380000,8000,10000,119,198,0.35952,0.53782,8139000,1415579833
0.7,25,100,71450,18655.35248,52153.28467,95266.66667,293000,6000,12000,137,184,0.3577,0.54745,7145000,765064153.2
0.72,22,100,96850,20350.84034,78104.83871,122594.9367,461000,5000,7000,124,182,0.32124,0.6371,9685000,1147272441
0.71,23,100,99860,20092.55533,79253.96825,129688.3117,242000,10000,20000,126,297,0.27938,0.61111,9986000,682241416.2
0.366336634,30,101,84445.54455,23824.02235,77536.36364,213225,346000,9000,7000,110,244,0.30812,0.36364,8529000,1173064183
0.534653465,30,101,86792.07921,7292.84526,53779.1411,116880,334000,2000,13000,163,978,0.13617,0.46012,8766000,202198932.9
0.48,26,100,66850,23705.67376,58640.35088,126132.0755,322000,5000,9000,114,139,0.40426,0.46491,6685000,1254493135
0.47,29,100,83840,28614.33447,74194.69027,161230.7692,381000,4000,11000,113,156,0.41544,0.46018,8384000,2594340479
0.445544554,30,101,67633.66337,12626.61738,52953.48837,139408.1633,233000,3000,12000,129,412,0.23978,0.37984,6831000,402893660.6
0.45,21,100,99910,16622.92359,81227.64228,185018.5185,424000,3000,19000,123,406,0.2261,0.43902,9991000,1159320139
0.39,36,100,99800,22030.90508,81138.21138,226818.1818,428000,3000,5000,123,226,0.32031,0.35772,9980000,1900149485
0.514851485,27,101,99079.20792,29174.92711,85529.91453,172534.4828,593000,15000,7000,117,226,0.34412,0.49573,10007000,2095320188
0.524752475,23,101,81861.38614,13734.21927,55120,121588.2353,490000,3000,6000,150,450,0.25,0.45333,8268000,696787812.1
0.48,16,100,99730,18816.98113,70232.39437,166216.6667,403000,5000,8000,142,350,0.27099,0.42254,9973000,1044429579
0.564356436,19,101,97653.46535,35865.45455,81512.39669,159080.6452,261000,21000,24000,121,154,0.44161,0.5124,9863000,1865948985
0.58,22,100,98210,27843.13725,76726.5625,144426.4706,289000,13000,7000,128,151,0.45878,0.53125,9821000,1286649482
0.47,29,100,99160,18616.10487,62364.77987,137722.2222,296000,3000,7000,159,294,0.33194,0.45283,9916000,1043745406
0.633663366,26,101,62435.64356,13889.86784,48137.40458,86383.56164,212000,2500,2000,131,225,0.28982,0.55725,6306000,470252744.8
0.673267327,27,101,98475.24752,16067.85137,87245.61404,136246.5753,655000,5000,19000,114,486,0.18447,0.64035,9946000,926823867.7
0.87,20,100,99320,14692.30769,74119.40299,97372.54902,413000,6000,15000,134,425,0.22296,0.76119,9932000,487688888.9
0.594059406,25,101,76564.35644,14729.52381,51899.32886,107402.7778,424000,5000,8000,149,312,0.28544,0.48322,7733000,703178611.4
